,cycle,id,candidate_name,party,district,current_candidate,cycle_candidate,recip_code,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
227,2004,N00000637,Jim Maloney (D),D,CT05, , ,DN,15170.0,16200.0,38908,7538.0
228,2008,N00029071,David John Cappiello (R),R,CT05,Y,Y,RL,521916.0,1085182.0,1730514,123416.0
229,2004,N00009591,Marta Macias Brown (D),D,CA42, , ,DN,-100.0,,-100,0.0
230,2004,N00005998,Solomon P Ortiz (D),D,TX27,Y,Y,DW,176140.0,366000.0,545534,3394.0
231,2004,N00026392,Sam Texas (R),R,TX07, ,Y,RL,,5400.0,5400,0.0
232,2004,N00013462,Christopher David Borcik (I),I,GA03, , ,3N,,10.0,10,0.0
233,2008,N00027738,Jim Nelson (D),D,GA01, , ,DN,,11794.0,12794,1000.0
234,2000,N00003369,Wilburn Fortinberry (R),R,MS04, , ,RN,,,0,
235,2000,N00003321,Ken Stribling (R),R,MS04, , ,RN,,,0,
236,2008,N00026418,Ken Wegner (R),R,NV01,Y,Y,RL,1.0,15542.0,15543,0.0
237,2004,N00007124,Christopher Cox (R),R,CA48,Y,Y,RW,474516.0,610055.0,1109434,24863.0
238,2004,N00026042,Carl Isett (R),R,TX19, ,Y,RL,59428.0,492528.0,657865,105909.0
239,2008,N00001025,Joseph J Dioguardi (3),3,NY19, , ,3N,,90000.0,90000,0.0
240,2008,N00029886,Mark B McCracken (D),D,PA05,Y,Y,DL,28316.0,30182.0,82940,24442.0
241,2004,N00025508,Lisa Ann Atkins (R),R,AZ02, , ,RN,-1000.0,,-1000,0.0
242,2008,N00029174,David O Leavitt (R),R,UT03, ,Y,RL,22500.0,236045.0,267149,8604.0
243,2004,N00026084,Anne B Norlander (R),R,MI07, ,Y,RN,1000.0,52177.0,72915,19738.0
244,2004,N00001148,Carolyn McCarthy (D),D,NY04,Y,Y,DW,534172.0,413851.0,1637126,689103.0
245,2004,N00026804,Timothy W Carpenter (D),D,WI04, ,Y,DL,12601.0,171777.0,240996,56618.0
246,2008,N00028359,Jim Noorlander (3),3,UT03,Y,Y,3L,,2500.0,5082,2582.0
247,2008,N00001543,Susan G Ducey (3),R,KS04, , ,RL,,2164.0,2164,0.0
248,2008,N00001543,Susan G Ducey (3),3,KS04,Y,Y,3L,,2164.0,2164,0.0
249,1996,N00005383,David G Thibodaux (R),R,LA07,Y,Y,RL,88727.0,77919.0,265067,98421.0
250,2008,N00024851,Tom Feeney (R),R,FL24,Y,Y,RL,1272615.0,721742.0,2169392,175035.0
251,2008,N00027851,Robert Chambers (D),D,IA05, , ,DN,,1045.0,2322,1277.0
252,2008,N00030206,Mary D Wright (I),I,TN09,Y,Y,3L,,18874.0,20004,1130.0
253,2004,N00000243,Thomas M Keane Jr (D),D,MA08, , ,DN,,9100.0,9100,0.0
254,2008,N00029916,Nicholas B Sparks (D),D,AL04,Y,Y,DL,500.0,22586.0,23336,250.0
255,2004,N00005645,Ralph M Hall (R),R,TX04,Y,Y,RW,704907.0,420528.0,1164381,38946.0
256,2008,N00030251,Herb Robinson (D),D,MA04, ,Y,DN,,670.0,670,0.0
257,2008,N00027783,Ralph Norman (R),R,SC05, , ,RN,,2000.0,2000,0.0
258,2004,N00024913,Kevin Feldman (D),D,CA30, , ,DN,,58526.0,58581,55.0
259,2000,N00009811,Jim Lawing (D),D,KS04, , ,DN,,,0,
260,2004,N00024757,Richter (Rick) Elser (R),R,CT03,Y,Y,RL,784.0,11700.0,19484,7000.0
261,2008,N00028152,Kevin McCarthy (R),R,CA22,Y,Y,RW,504265.0,490764.0,1011786,16757.0
262,2004,N00007507,George Radanovich (R),R,CA19,Y,Y,RW,374417.0,359140.0,810934,77377.0
263,2008,N00007422,Ellen O Tauscher (D),D,CA10,Y,Y,DW,887660.0,328455.0,1261098,44983.0
264,2008,N00029202,Don Wiviott (D),D,NM03, ,Y,DO,12343.0,464191.0,537181,60647.0
265,2004,N00026522,Vicki Johnson (D),D,CA26, ,Y,DL,105.0,4401.0,6685,2179.0
266,2008,N00006134,Diana DeGette (D),D,CO01,Y,Y,DW,536250.0,223499.0,788663,28914.0
267,2004,N00026535,Albert Robles (D),D,CA37, ,Y,DL,,28225.0,33944,5719.0
268,2008,N00029369,John Dicks (D),D,FL09, ,Y,DL,17010.0,172925.0,205270,15335.0
269,2004,N00001222,Maurice Hinchey (D),D,NY22,Y,Y,DW,215389.0,266978.0,681346,198979.0
270,2010,N00030254,Mary Waters (D),D,MI13, , ,DN,,,0,0.0
271,2008,N00004367,Tammy Baldwin (D),D,WI02,Y,Y,DW,424256.0,410418.0,834674,0.0
272,2008,N00006425,John Shadegg (R),R,AZ03,Y,Y,RW,1147681.0,1616495.0,2927739,163563.0
