cycle,cid,candidate_name,party,state,district,campaign,cycle_candidate,recip_code,nopacs,raised_from_pacs,raised_from_individuals,raised_total,raised_unitemized
2004,N00026814,Bill Phillips,D,FL,,SEN,Y,DN, ,,204608.0,213066,8458.0
2008,N00030251,Herb Robinson,D,MA,MA-04,CON,Y,DN, ,,670.0,670,0.0
2008,N00027783,Ralph Norman,R,SC,SC-05,CON, ,RN, ,,2000.0,2000,0.0
2004,N00024913,Kevin Feldman,D,CA,CA-30,CON, ,DN, ,,58526.0,58581,55.0
2000,N00009811,Jim Lawing,D,KS,KS-04,CON, ,DN, ,,,0,
2004,N00024757,Richter (Rick) Elser,R,CT,CT-03,CON,Y,RL, ,784.0,11700.0,19484,7000.0
2008,N00028152,Kevin McCarthy,R,CA,CA-22,CON,Y,RW, ,504265.0,490764.0,1011786,16757.0
2004,N00007507,George Radanovich,R,CA,CA-19,CON,Y,RW, ,374417.0,359140.0,810934,77377.0
2008,N00007422,Ellen O Tauscher,D,CA,CA-10,CON,Y,DW, ,887660.0,328455.0,1261098,44983.0
2008,N00029202,Don Wiviott,D,NM,NM-03,CON,Y,DO, ,12343.0,464191.0,537181,60647.0
2004,N00026522,Vicki Johnson,D,CA,CA-26,CON,Y,DL, ,105.0,4401.0,6685,2179.0
2008,N00006134,Diana DeGette,D,CO,CO-01,CON,Y,DW, ,536250.0,223499.0,788663,28914.0
2008,N00003389,Mitch McConnell,R,KY,,SEN,Y,RW, ,4853745.0,11082465.0,16826775,890565.0
2004,N00026535,Albert Robles,D,CA,CA-37,CON,Y,DL, ,,28225.0,33944,5719.0
2008,N00029369,John Dicks,D,FL,FL-09,CON,Y,DL, ,17010.0,172925.0,205270,15335.0
2004,N00000968,Daniel Patrick Moynihan,D,NY,,SEN, ,DN, ,,-13000.0,-13000,0.0
2004,N00001222,Maurice Hinchey,D,NY,NY-22,CON,Y,DW, ,215389.0,266978.0,681346,198979.0
2010,N00030254,Mary Waters,D,MI,MI-13,CON, ,DN, ,,,0,0.0
2008,N00004367,Tammy Baldwin,D,WI,WI-02,CON,Y,DW, ,424256.0,410418.0,834674,0.0
2008,N00006425,John Shadegg,R,AZ,AZ-03,CON,Y,RW, ,1147681.0,1616495.0,2927739,163563.0
2004,N00000226,John F Tierney,D,MA,MA-06,CON,Y,DW, ,195010.0,355884.0,669696,118802.0
2008,N00029288,Brian P Ruiz,D,TX,TX-31,CON,Y,DL, ,,15766.0,24224,8458.0
2004,N00027164,Lou Munoz,R,AZ,AZ-07,CON,Y,RL, ,,1800.0,5090,3290.0
2004,N00025213,Frank Gonzalez,L,FL,FL-21,CON,Y,3L, ,,4147.0,17584,13437.0
2000,N00000248,Alex Rodriguez,D,MA,MA-08,CON, ,DN, ,,,100,100.0
2008,N00029650,Christopher Jon Balding,R,CA,CA-34,CON,Y,RL, ,,6493.0,7053,560.0
2004,N00026754,Joan R Ruff,D,KS,,SEN,Y,DN, ,589.0,89276.0,179355,89490.0
2000,N00003344,Richard Edward O'Hara,D,MS,MS-05,CON, ,DN, ,,,0,
2000,N00003357,Karl Mertz,R,MS,MS-05,CON,Y,RL, ,,,0,
2008,N00028761,Frank Enriquez,D,TX,TX-28,CON, ,DN, ,,1181.0,1181,0.0
2004,N00026136,Frederic J Cowan,D,KY,,SEN,Y,DN, ,,254088.0,645947,391859.0
