cycle,senate,won,raised_total_1M,Dem,Other,Repub,state_rank
2006,0,0,0.059692,1,0,0,47
2006,0,0,0.006573,0,0,1,4
2002,0,0,0.428814,0,0,1,14
2006,0,1,0.902838,0,0,1,35
2002,0,0,0.026651,1,0,0,45
2006,0,0,0.036733,0,1,0,2
2006,0,0,0.031725,1,0,0,30
2002,0,0,0.426414,0,0,1,30
2006,0,1,1.158112,0,0,1,15
2000,0,0,0.0,0,1,0,46
2006,0,0,0.146615,0,0,1,29
2002,0,0,0.003715,1,0,0,30
2002,0,1,0.839849,1,0,0,25
2006,0,1,0.977447,0,0,1,3
2002,0,1,0.599033,1,0,0,47
2002,0,1,0.621856,0,0,1,50
2002,0,0,0.022694,0,0,1,30
2002,0,0,0.601014,1,0,0,21
2002,0,0,0.014717,1,0,0,10
2002,0,0,0.071035,0,1,0,35
2006,0,0,0.165194,1,0,0,32
2006,0,1,0.982623,1,0,0,47
2002,0,1,1.757751,0,0,1,15
2006,0,1,1.088368,1,0,0,15
2002,0,1,1.572453,0,0,1,32
2006,0,0,0.016866,0,0,1,47
2002,0,0,0.026145,1,0,0,10
2006,0,0,4.949176,0,0,1,32
2002,0,1,0.627258,0,0,1,13
2006,0,0,0.112449,1,0,0,32
2006,0,0,0.039176,1,0,0,10
2006,0,0,0.002738,0,1,0,24
2006,0,0,0.010109,0,0,1,35
2000,0,0,0.0,0,1,0,46
2006,0,1,1.036411,1,0,0,47
2002,0,0,0.208897,1,0,0,19
2002,0,0,0.092435,1,0,0,32
2002,0,1,0.476388,0,0,1,30
2002,0,0,0.010499,1,0,0,10
2006,0,0,1.13468,0,0,1,21
2002,0,0,0.038805,1,0,0,32
2002,0,1,0.309487,1,0,0,45
2002,0,1,0.629313,0,0,1,32
2002,0,0,1.319059,1,0,0,16
2006,0,0,0.293581,1,0,0,48
2000,0,0,0.0,0,0,1,46
2002,0,0,1.169517,0,0,1,42
2006,0,1,3.213924,1,0,0,2
2000,0,0,0.0,0,1,0,46
2002,0,0,0.00795,0,0,1,30
2000,0,0,0.0,0,1,0,46
2002,0,0,0.005728,1,0,0,35
2002,0,0,0.01492,1,0,0,30
2000,0,0,0.0,0,1,0,45
2002,0,0,0.013803,0,0,1,15
2006,0,0,0.043316,0,0,1,32
2006,0,1,0.718044,1,0,0,29
2006,0,0,0.277802,1,0,0,31
2002,0,1,1.441328,1,0,0,23
2002,0,0,0.07128,1,0,0,24
2000,0,0,0.0,0,1,0,35
2006,0,0,0.231613,0,0,1,38
2002,0,0,0.277215,0,0,1,42
2000,0,0,0.0,0,1,0,35
2002,0,0,0.009125,0,0,1,29
2006,0,0,0.567554,1,0,0,13
2006,0,0,0.026026,1,0,0,28
2006,0,0,0.023513,0,0,1,35
2014,0,1,18.573508,0,0,1,10
2014,0,1,1.012342,1,0,0,25
2010,0,0,0.060654,0,0,1,47
2000,0,0,0.0,1,0,0,28
2010,0,0,0.004855,0,0,1,19
2014,0,1,0.698306,1,0,0,28
2010,0,0,0.041935,0,0,1,45
2014,0,0,0.724301,1,0,0,21
2010,0,0,0.0027,0,0,1,35
2010,0,0,0.014189,0,0,1,30
2010,0,0,0.006274,0,0,1,34
2010,0,0,0.00525,0,0,1,45
2010,0,0,0.013677,0,0,1,34
2014,0,0,0.021337,1,0,0,32
2014,0,0,0.01383,1,0,0,45
2010,0,0,0.10599,0,0,1,35
2014,0,0,0.008005,0,0,1,35
2010,0,0,0.009085,0,1,0,39
2014,0,0,0.030487,1,0,0,16
2014,0,0,0.243343,0,0,1,39
2014,0,0,0.015829,0,0,1,13
2014,0,0,0.295468,0,0,1,15
2014,0,1,2.209977,0,0,1,1
2014,0,0,0.09146,0,0,1,30
2010,0,0,0.007998,0,1,0,14
2010,0,1,0.830052,1,0,0,35
2010,0,0,0.011916,1,0,0,25
2014,0,1,1.757004,0,0,1,39
2010,0,0,0.041622,0,1,0,47
2014,0,1,1.616427,1,0,0,4
2010,0,0,0.010509,0,0,1,38
2010,0,0,0.052718,0,0,1,35
2014,0,0,1.832665,1,0,0,35
2014,0,1,0.547461,1,0,0,35
2010,0,0,0.00051,1,0,0,48
2014,0,0,0.000483,0,0,1,39
